,ID,Title,Assigned To,Case ID,Comment,Defects,Elapsed,Forecast,In Progress,Plan,Plan ID,Platform,Priority,References,Run,Run Configuration,Run ID,Section,Section Depth,Section Description,Status,Tested By,Tested On,Type,Version
0,T30609899,Standard profile user - Validate global navigation menu,,C2478610,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2600, GQA-1876",Approved P0 for June 7 Build,Roku 4k TV,R112880,Global Navigation,1,,Passed,Shuan Wang,6/7/2023 4:47 PM,Regression,
1,T30609900,Kids profile user - Validate global navigation menu,,C2478611,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2600, GQA-1876",Approved P0 for June 7 Build,Roku 4k TV,R112880,Global Navigation,1,,Passed,Stephanie Kart,6/8/2023 12:04 PM,Regression,
2,T30609904,Remove shows from My Stuff > My List tab using asset tiles,,C2478621,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2755, GQA-2760",Approved P0 for June 7 Build,Roku 4k TV,R112880,My Stuff,1,,Passed,Shuan Wang,6/7/2023 4:52 PM,Regression,
3,T30609903,Authenticated new user-Verify My list functionality,,C2478616,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2760,Approved P0 for June 7 Build,Roku 4k TV,R112880,My Stuff,1,,Passed,Shuan Wang,6/7/2023 4:51 PM,Regression,
4,T30609916,Validate Continue watching rail update behavior on Homepage,,C2607139,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2823,Approved P0 for June 7 Build,Roku 4k TV,R112880,Continue Watching,1,,Passed,Shuan Wang,6/7/2023 5:54 PM,Regression,
5,T30609911,Verify Signout from setting page,,C2483786,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2686, GQA-2744",Approved P0 for June 7 Build,Roku 4k TV,R112880,"Onboarding, Registration and Sign in",1,,Passed,Shuan Wang,6/7/2023 5:54 PM,Regression,
6,T30609898,Validate Lapsed/Inactive Subscription screen when user is signed in with lapsed user account,,C2478606,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2046, GQA-2313",Approved P0 for June 7 Build,Roku 4k TV,R112880,"Onboarding, Registration and Sign in",1,,Passed,Shuan Wang,6/8/2023 12:41 PM,Regression,
7,T30609915,MVPD Sign In (3rd Party Credentials)] Lapsed MVPD User Chooses to Connect to a new MVPD Provider With a New BEAM Account,,C2606569,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2030,Approved P0 for June 7 Build,Roku 4k TV,R112880,MVPD,1,,Passed,Stephanie Kart,6/9/2023 1:05 PM,Regression,
8,T30609921,TV Code MVPD Sign In - Lapsed User Chooses to Renew via IAP Flow,,C2611133,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Roku
Android TV
CTV
tvOS
Comcast
Samsung",P0,"GQA-2177, GQA-2317",Approved P0 for June 7 Build,Roku 4k TV,R112880,MVPD,1,,Passed,Stephanie Kart,6/9/2023 1:05 PM,Regression,
9,T30609920,MVPD Sign In (3rd Party Credentials) Lapsed MVPD User Chooses To Renew Subscription via DTC Flow,,C2611107,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2035, GQA-2208",Approved P0 for June 7 Build,Roku 4k TV,R112880,MVPD,1,,Passed,Stephanie Kart,6/9/2023 1:05 PM,Regression,
10,T30609927,Validate IAP Happy Path Purchase,,C2621492,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
iOS
Android
Fire Tab
Roku
Android TV
DirecTV
Comcast
STB
iPad
Samsung
iPhone",P0,"GQA-2266, GQA-2177, GQA-2091, GQA-2076, GQA-2077, GQA-2078, GQA-2725, GQA-2189",Approved P0 for June 7 Build,Roku 4k TV,R112880,Subscribe via IAP,2,,Passed,Shuan Wang,6/8/2023 10:09 AM,Regression,
11,T30609912,Change Plan - Upgrade Plan,,C2489270,"https://wbdstreaming.atlassian.net/browse/GCX-26185
Boundary team confirmed stg backoffice is currently locked. Post-launch ADD should be created to determine long-term solution going forward.",,,,,[Roku] 5/30 BD&GD CUJs,R111282,"iOS
Roku
tvOS
iPad
iPhone",P0,GQA-2295,Approved P0 for June 7 Build,Roku 4k TV,R112880,Change Plan for IAP,2,,Blocked,Shuan Wang,6/8/2023 10:09 AM,Regression,
12,T30609913,Change Plan - Downgrade Plan,,C2489271,"https://wbdstreaming.atlassian.net/browse/GCX-26185
Boundary team confirmed stg backoffice is currently locked. Post-launch ADD should be created to determine long-term solution going forward.",,,,,[Roku] 5/30 BD&GD CUJs,R111282,"iOS
Roku
iPad
iPhone",P0,GQA-2295,Approved P0 for June 7 Build,Roku 4k TV,R112880,Change Plan for IAP,2,,Blocked,Shuan Wang,6/8/2023 10:10 AM,Regression,
13,T30609925,Automatic Restore Purchase,,C2617194,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
iOS
Android
Fire Tab
Roku
Android TV
tvOS
iPad
iPhone",P0,GQA-2280,Approved P0 for June 7 Build,Roku 4k TV,R112880,Restore Purchase,2,,Passed,Shuan Wang,6/7/2023 6:39 PM,Regression,
14,T30609928,Authenticated User:  Validating movie detail page via Movie tiles,,C2621715,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2799, GQA-2684, GQA-2786",Approved P0 for June 7 Build,Roku 4k TV,R112880,Movie Detail Page,1,,Passed,Shuan Wang,6/7/2023 5:56 PM,Regression,
15,T30609907,Authenticated User - Verify Age Rating & Content Descriptors,,C2480314,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2254,Approved P0 for June 7 Build,Roku 4k TV,R112880,Age Rating & Content Descriptors,1,,Passed,Shuan Wang,6/7/2023 6:43 PM,Regression,
16,T30609923,Authenticated User can play <AssetType> content,,C2614787,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2027, GQA-2131",Approved P0 for June 7 Build,Roku 4k TV,R112880,Core playback,1,,Passed,Shuan Wang,6/7/2023 6:44 PM,Regression,
17,T30609908,Authenticated User - Verify Ad Pods & Ad Counter,,C2481415,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2547, GQA-2624",Approved P0 for June 7 Build,Roku 4k TV,R112880,Ads Playback,1,,Passed,Shuan Wang,6/7/2023 6:44 PM,Regression,
18,T30609909,"Authenticated User - Validate Hidden Progress Bar, Pause/resume, Scrub Backward and Forward during Ad Playback",,C2481417,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2622,Approved P0 for June 7 Build,Roku 4k TV,R112880,Ads Playback,1,,Passed,Shuan Wang,6/7/2023 6:45 PM,Regression,
19,T30609932,Adult pre-roll bumpers,,C2622616,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2733, GQA-2131, GQA-2574",Approved P0 for June 7 Build,Roku 4k TV,R112880,BEAM Pre- and Post-Roll Playback,1,,Passed,Shuan Wang,6/7/2023 6:32 PM,Regression,
20,T30609936,Adult mid-roll bumpers,,C2624446,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2733, GQA-2697, GQA-2131, GQA-2574",Approved P0 for June 7 Build,Roku 4k TV,R112880,BEAM Pre- and Post-Roll Playback,1,,Passed,Shuan Wang,6/7/2023 6:34 PM,Regression,
21,T30609914,Verify Autoplay Episodes behaviour when option sets to <AutoPlaySetting>,,C2605627,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2271,Approved P0 for June 7 Build,Roku 4k TV,R112880,Playback Settings,1,,Passed,Shuan Wang,6/7/2023 7:00 PM,Regression,
22,T30609917,Verify interactions that  trigger the chrome to be shown,,C2611049,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2301,Approved P0 for June 7 Build,Roku 4k TV,R112880,"VOD Timeline, Playback Controls & Transport Controls",1,,Passed,Shuan Wang,6/7/2023 7:01 PM,Regression,
23,T30609918,Verify that user can pause any content,,C2611056,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2301,Approved P0 for June 7 Build,Roku 4k TV,R112880,"VOD Timeline, Playback Controls & Transport Controls",1,,Passed,Shuan Wang,6/7/2023 7:01 PM,Regression,
24,T30609919,Verify timeline indicators are displayed,,C2611059,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2301,Approved P0 for June 7 Build,Roku 4k TV,R112880,"VOD Timeline, Playback Controls & Transport Controls",1,,Passed,Shuan Wang,6/7/2023 7:03 PM,Regression,
25,T30609926,Verify user can use scrubbing to FF/Back video,,C2617219,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
iOS
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2301,Approved P0 for June 7 Build,Roku 4k TV,R112880,"VOD Timeline, Playback Controls & Transport Controls",1,,Passed,Shuan Wang,6/7/2023 7:04 PM,Regression,
26,T30609922,Verify cold start audio and text menu settings for adult profile with device CC settings set to ON,,C2612525,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Android TV
tvOS
DirecTV
iPad
iPhone",P0,GQA-2316,Approved P0 for June 7 Build,Roku 4k TV,R112880,Audio and text menu,1,,Passed,Shuan Wang,6/7/2023 7:05 PM,Regression,
27,T30609924,Verify cold start audio and text menu settings for kids profile,,C2614810,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Android TV
tvOS
DirecTV
iPad
iPhone",P0,GQA-2316,Approved P0 for June 7 Build,Roku 4k TV,R112880,Audio and text menu,1,,Passed,Shuan Wang,6/8/2023 12:28 PM,Regression,
28,T30609929,Verify More episodes button is only available on episodic content,,C2621760,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Roku
Android TV
Comcast
STB
Samsung
LG
Xbox
Vizio
Playstation
cdev",P0,GQA-2261,Approved P0 for June 7 Build,Roku 4k TV,R112880,More Episodes,1,,Passed,Shuan Wang,6/7/2023 7:06 PM,Regression,
29,T30609930,Verify “More Episodes” is a persistent part of the player chrome,,C2621762,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Roku
Android TV
DirecTV
Comcast
Samsung
LG
Xbox
Vizio
Playstation",P0,GQA-2261,Approved P0 for June 7 Build,Roku 4k TV,R112880,More Episodes,1,,Passed,Shuan Wang,6/7/2023 7:07 PM,Regression,
30,T30609935,Verify R&A is <displayed> for <content type>,,C2622785,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-1807,Approved P0 for June 7 Build,Roku 4k TV,R112880,Ratings & Advisories Overlay,1,,Passed,Shuan Wang,6/7/2023 7:09 PM,Regression,
31,T30609933,Rating and Advisories do not display over pre-roll,,C2622771,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GCX-3958, GQA-2254",Approved P0 for June 7 Build,Roku 4k TV,R112880,Ratings & Advisories Overlay,1,,Passed,Shuan Wang,6/7/2023 7:10 PM,Regression,
32,T30609934,R&A should display during intro,,C2622774,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-1807,Approved P0 for June 7 Build,Roku 4k TV,R112880,Ratings & Advisories Overlay,1,,Passed,Shuan Wang,6/7/2023 7:12 PM,Regression,
33,T30609910,Geo error message When User Launch App in 'Not Permitted Territory',,C2481422,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
iPad
iPhone",P0,GQA-2250,Approved P0 for June 7 Build,Roku 4k TV,R112880,Site Selection & EEA Portability,1,,Passed,Shuan Wang,6/8/2023 12:57 PM,Regression,
34,T30609905,Authenticated user can get search results,,C2478647,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2100, GQA-2175, GQA-2165, GQA-2102, GQA-2174",Approved P0 for June 7 Build,Roku 4k TV,R112880,Search Core,1,,Passed,Shuan Wang,6/7/2023 4:48 PM,Regression,
35,T30609906,Authenticated user on a kid’s profile can get search results,,C2478648,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2639, GQA-2737, GQA-2618",Approved P0 for June 7 Build,Roku 4k TV,R112880,Search Core,1,,Passed,Stephanie Kart,6/8/2023 12:00 PM,Regression,
