,ID,Title,Assigned To,Case ID,Comment,Defects,Elapsed,Forecast,In Progress,Plan,Plan ID,Platform,Priority,References,Run,Run Configuration,Run ID,Section,Section Depth,Section Description,Status,Tested By,Tested On,Type,Version
0,T30609962,Standard profile user - Validate global navigation menu,Noel Dizon,C2478610,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2600, GQA-1876",Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,Global Navigation,1,,Passed,Noel Dizon,6/7/2023 6:51 PM,Regression,
1,T30609963,Kids profile user - Validate global navigation menu,Noel Dizon,C2478611,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2600, GQA-1876",Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,Global Navigation,1,,Passed,Noel Dizon,6/7/2023 6:54 PM,Regression,
2,T30609967,Remove shows from My Stuff > My List tab using asset tiles,Noel Dizon,C2478621,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2755, GQA-2760",Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,My Stuff,1,,Passed,Noel Dizon,6/7/2023 6:58 PM,Regression,
3,T30609966,Authenticated new user-Verify My list functionality,Noel Dizon,C2478616,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2760,Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,My Stuff,1,,Passed,Noel Dizon,6/7/2023 6:56 PM,Regression,
4,T30609979,Validate Continue watching rail update behavior on Homepage,Noel Dizon,C2607139,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2823,Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,Continue Watching,1,,Passed,Noel Dizon,6/7/2023 7:08 PM,Regression,
5,T30609974,Verify Signout from setting page,Noel Dizon,C2483786,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2686, GQA-2744",Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,"Onboarding, Registration and Sign in",1,,Passed,Noel Dizon,6/7/2023 7:09 PM,Regression,
6,T30609961,Validate Lapsed/Inactive Subscription screen when user is signed in with lapsed user account,Noel Dizon,C2478606,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2046, GQA-2313",Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,"Onboarding, Registration and Sign in",1,,Passed,Noel Dizon,6/7/2023 7:15 PM,Regression,
7,T30609978,MVPD Sign In (3rd Party Credentials)] Lapsed MVPD User Chooses to Connect to a new MVPD Provider With a New BEAM Account,Mohamed Khaliq,C2606569,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,GQA-2030,Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,MVPD,1,,Passed,Mohamed Khaliq,6/8/2023 4:31 AM,Regression,1.1.1.4
8,T30609984,TV Code MVPD Sign In - Lapsed User Chooses to Renew via IAP Flow,,C2611133,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Roku
Android TV
CTV
tvOS
Comcast
Samsung",P0,"GQA-2177, GQA-2317",Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,MVPD,1,,Passed,Stephanie Kart,6/9/2023 11:50 AM,Regression,
9,T30609983,MVPD Sign In (3rd Party Credentials) Lapsed MVPD User Chooses To Renew Subscription via DTC Flow,,C2611107,,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P0,"GQA-2035, GQA-2208",Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,MVPD,1,,Passed,Stephanie Kart,6/9/2023 11:50 AM,Regression,
10,T30609990,Validate IAP Happy Path Purchase,Snehi Maniktala,C2621492, ![](index.php?/attachments/get/210ed49d-8942-4b47-af45-84818187ed8e)  ![](index.php?/attachments/get/323d5b1c-64cc-4904-9661-e5ea8a2615e2)  ![](index.php?/attachments/get/5bf63ed7-c452-4e3c-87c8-26ccfeaa5206)  ![](index.php?/attachments/get/84f76d38-31aa-423d-9d0e-a0433a6b931b)  ![](index.php?/attachments/get/fabeb2da-1319-4982-855e-4f4bc0d8e540)  ![](index.php?/attachments/get/324a1785-8c79-4d58-983f-7daaa5cc6eb6)      ,,,,,[Roku] 5/30 BD&GD CUJs,R111282,"Fire TV
iOS
Android
Fire Tab
Roku
Android TV
DirecTV
Comcast
STB
iPad
Samsung
iPhone",P0,"GQA-2266, GQA-2177, GQA-2091, GQA-2076, GQA-2077, GQA-2078, GQA-2725, GQA-2189",Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,Subscribe via IAP,2,,Passed,Snehi Maniktala,6/8/2023 2:23 AM,Regression,
11,T30609975,Change Plan - Upgrade Plan,Snehi Maniktala,C2489270,"https://wbdstreaming.atlassian.net/browse/GCX-26185
Boundary team confirmed stg backoffice is currently locked. Post-launch ADD should be created to determine long-term solution going forward.",,,,,[Roku] 5/30 BD&GD CUJs,R111282,"iOS
Roku
tvOS
iPad
iPhone",P0,GQA-2295,Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,Change Plan for IAP,2,,Blocked,Snehi Maniktala,6/8/2023 2:33 AM,Regression,
12,T30609976,Change Plan - Downgrade Plan,Snehi Maniktala,C2489271,"https://wbdstreaming.atlassian.net/browse/GCX-26185
Boundary team confirmed stg backoffice is currently locked. Post-launch ADD should be created to determine long-term solution going forward.",,,,,[Roku] 5/30 BD&GD CUJs,R111282,"iOS
Roku
iPad
iPhone",P0,GQA-2295,Approved P0 for June 7 Build,"Roku device low, mid, high",R112881,Change Plan for IAP,2,,Blocked,Snehi Maniktala,6/8/2023 2:33 AM,Regression,
