,ID,Title,Assigned To,Case ID,Comment,Defects,Elapsed,Forecast,In Progress,Plan,Plan ID,Platform,Priority,References,Run,Run Configuration,Run ID,Section,Section Depth,Section Description,Status,Tested By,Tested On,Type,Version
0,T30929251,Profile Creation with Inline Errors,,C2623125,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2064,Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Passed,Thangam Thia,6/15/2023 2:02 PM,Regression,
1,T30929252,Profile Creation - Name Persists on Another Device,,C2623126,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2064,Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Passed,Thangam Thia,6/15/2023 2:02 PM,Regression,
2,T30928961,Edit User Profile - Name field,,C2479433,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2070,Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Passed,Thangam Thia,6/15/2023 2:02 PM,Regression,
3,T30928987,Edit User Profile with Special Characters,,C2480323,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2070,Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Passed,Thangam Thia,6/15/2023 2:03 PM,Regression,
4,T30929196,Edit User Profile - Name Persists on Another Device,,C2622574,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2070,Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Passed,Thangam Thia,6/15/2023 2:05 PM,Regression,
5,T30928972,Accessing A Deleted Profile From Another  Device,,C2479704,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2062,Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Passed,Thangam Thia,6/15/2023 2:11 PM,Regression,
6,T30929142,Lock Icon on WiW,,C2621759,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2056,Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Passed,Thangam Thia,6/15/2023 2:15 PM,Regression,
7,T30929152,View Profiles on WiW,,C2621913,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,"GQA-2745, GQA-2262",Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Passed,Thangam Thia,6/15/2023 2:15 PM,Regression,
8,T30929245,View Profiles on Mobile,,C2622966,,,,,,Android BD Regression 6/1+,R112031,"Android
Fire Tab
iPad
iPhone",P2,GQA-2248,Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Passed,Thangam Thia,6/15/2023 2:15 PM,Regression,
9,T30929246,Profile quick switch on mobile,,C2622968,,,,,,Android BD Regression 6/1+,R112031,"Android
Fire Tab
iPad
iPhone",P2,GQA-2248,Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Passed,Thangam Thia,6/15/2023 2:15 PM,Regression,
10,T30929154,Edit mode from WiW page,,C2621917,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2262,Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Passed,Thangam Thia,6/15/2023 2:16 PM,Regression,
11,T30929174,Edit mode until Done selected,,C2622061,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
Cox
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Playstation
iPhone",P2,GQA-2262,Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Passed,Thangam Thia,6/15/2023 2:16 PM,Regression,
12,T30929172,Profile Persistence on Mobile/Tablet/Desktop,,C2622056,,,,,,Android BD Regression 6/1+,R112031,"Android
Fire Tab
Web
iPad
iPhone",P2,"GQA-1476, GQA-2068",Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Passed,Thangam Thia,6/15/2023 2:16 PM,Regression,
13,T30929188,Profiles & Globalization Experience - Forgot PIN - User forgot PIN  and doesn't know account password,,C2622403,,CONS-4789,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2263,Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Failed,Thangam Thia,6/15/2023 3:40 PM,Regression,
14,T30929191,Standard Profile Creation  With 1 to 4 Previous Profiles,,C2622422,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2069,Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Passed,Thangam Thia,6/15/2023 2:16 PM,Regression,
15,T30929192,Adding another profile to trigger Profile limit exceeded on 1 Device,,C2622424,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2069,Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Passed,Thangam Thia,6/15/2023 3:12 PM,Regression,
16,T30929193,Deletion of the Default User Profile,,C2622426,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2062,Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Passed,Thangam Thia,6/15/2023 2:17 PM,Regression,
17,T30929247,My Profile Menu - mobile,,C2622970,,,,,,Android BD Regression 6/1+,R112031,"Android
Fire Tab
iPad
iPhone",P2,GQA-2256,Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Awaiting Clarifications,Thangam Thia,6/15/2023 2:48 PM,Regression,
18,T30929306,My Profile Menu - Mobile - successful pin on locked profile,,C2625898,,,,,,Android BD Regression 6/1+,R112031,"Android
Fire Tab
iPad
iPhone",P2,GQA-2248,Regression P2s - Prod,Android Mobile,R114231,User Profiles,0,,Passed,Thangam Thia,6/15/2023 2:48 PM,Regression,
19,T30929320,Default Kids Profile - First Login,,C2653691,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2607,Regression P2s - Prod,Android Mobile,R114231,Default Kids Profile,1,,Passed,Thangam Thia,6/15/2023 3:12 PM,Regression,
20,T30929039,Default Kids Profile - Existing user - no Ratings banner,,C2606354,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2607,Regression P2s - Prod,Android Mobile,R114231,Default Kids Profile,1,,Passed,Thangam Thia,6/15/2023 3:12 PM,Regression,
21,T30929307,Parental Controls - Create/Edit Parent Code when unauthenticated in browser session (mobile only),,C2648056,,,,,,Android BD Regression 6/1+,R112031,"Android
Fire Tab
iPad
iPhone",P2,"GQA-2601, GQA-2805, GQA-2532",Regression P2s - Prod,Android Mobile,R114231,Parental Controls,1,,Passed,Thangam Thia,6/15/2023 3:41 PM,Regression,
22,T30929135,Kids Transactional Emails sent,,C2621647,,DAI-6406,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,"GQA-2776, GQA-2603, GQA-2613",Regression P2s - Prod,Android Mobile,R114231,Parental Controls,1,,Failed,Thangam Thia,6/15/2023 4:46 PM,Regression,
23,T30929249,Default Kids Profile - Keyboard Navigation,,C2623027,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2607,Regression P2s - Prod,Android Mobile,R114231,Parental Controls,1,,Passed,Thangam Thia,6/15/2023 4:15 PM,Regression,
