,ID,Title,Assigned To,Case ID,Comment,Defects,Elapsed,Forecast,In Progress,Plan,Plan ID,Platform,Priority,References,Run,Run Configuration,Run ID,Section,Section Depth,Section Description,Status,Tested By,Tested On,Type,Version
0,T30929760,Profile Creation with Inline Errors,Gunda Gupta,C2623125,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2064,Regression P2s - Prod,Fire Tablet,R114232,User Profiles,0,,Passed,Gunda Gupta,6/16/2023 1:47 AM,Regression,
1,T30929761,Profile Creation - Name Persists on Another Device,Gunda Gupta,C2623126,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2064,Regression P2s - Prod,Fire Tablet,R114232,User Profiles,0,,Passed,Gunda Gupta,6/21/2023 3:10 AM,Regression,
2,T30929472,Edit User Profile - Name field,Gunda Gupta,C2479433,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2070,Regression P2s - Prod,Fire Tablet,R114232,User Profiles,0,,Passed,Gunda Gupta,6/16/2023 1:49 AM,Regression,
3,T30929499,Edit User Profile with Special Characters,Gunda Gupta,C2480323,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2070,Regression P2s - Prod,Fire Tablet,R114232,User Profiles,0,,Passed,Gunda Gupta,6/16/2023 1:57 AM,Regression,
4,T30929704,Edit User Profile - Name Persists on Another Device,Gunda Gupta,C2622574,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2070,Regression P2s - Prod,Fire Tablet,R114232,User Profiles,0,,Passed,Gunda Gupta,6/16/2023 2:37 AM,Regression,
5,T30929484,Accessing A Deleted Profile From Another  Device,Gunda Gupta,C2479704,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2062,Regression P2s - Prod,Fire Tablet,R114232,User Profiles,0,,Untested,,,Regression,
6,T30929651,Lock Icon on WiW,Gunda Gupta,C2621759,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,GQA-2056,Regression P2s - Prod,Fire Tablet,R114232,User Profiles,0,,Passed,Gunda Gupta,6/16/2023 2:36 AM,Regression,
7,T30929661,View Profiles on WiW,Gunda Gupta,C2621913,,,,,,Android BD Regression 6/1+,R112031,"Fire TV
Android
Fire Tab
Roku
Web
Android TV
tvOS
All Platforms
DirecTV
Comcast
iPad
Samsung
LG
Xbox
Vizio
Playstation
iPhone",P2,"GQA-2745, GQA-2262",Regression P2s - Prod,Fire Tablet,R114232,User Profiles,0,,Passed,Gunda Gupta,6/16/2023 2:41 AM,Regression,
8,T30929754,View Profiles on Mobile,Gunda Gupta,C2622966,,,,,,Android BD Regression 6/1+,R112031,"Android
Fire Tab
iPad
iPhone",P2,GQA-2248,Regression P2s - Prod,Fire Tablet,R114232,User Profiles,0,,Passed,Gunda Gupta,6/16/2023 2:43 AM,Regression,
9,T30929755,Profile quick switch on mobile,Gunda Gupta,C2622968,,,,,,Android BD Regression 6/1+,R112031,"Android
Fire Tab
iPad
iPhone",P2,GQA-2248,Regression P2s - Prod,Fire Tablet,R114232,User Profiles,0,,Passed,Gunda Gupta,6/16/2023 2:57 AM,Regression,
